Threads,Points,Radius,Means,GenTime,ClassTime
1,10,5,5,0.013916,0.000977
1,100,5,5,0.016113,0.025146
1,100,5,50,0.014893,0.117188
1,100,50,5,0.019043,0.036133
1,100,50,50,0.010986,0.076172
1,1000,5,5,0.127197,0.781006
1,1000,5,50,0.143066,5.479004
1,1000,5,500,0.072998,5.055908
1,1000,50,5,0.078125,0.437012
1,1000,50,50,0.125977,8.714111
1,1000,50,500,0.089844,9.656982
1,1000,500,5,0.077881,0.319092
1,1000,500,50,0.137939,11.297119
1,1000,500,500,0.069092,8.221924
1,10000,5,5,0.604004,1.492188
1,10000,5,50,0.854980,89.205078
1,10000,5,500,0.604004,914.303955
1,10000,50,5,0.597900,8.698975
1,10000,50,50,0.605957,116.157959
1,10000,50,500,0.854004,871.025879
1,10000,500,5,0.582031,6.136963
1,10000,500,50,0.607910,73.311035
1,10000,500,500,0.604004,688.152100
1,100000,5,5,5.825928,44.140137
1,100000,5,50,5.545166,688.658936
1,100000,5,500,5.538086,35372.943115
1,100000,50,5,12.372803,17.461914
1,100000,50,50,12.625977,2198.197998
1,100000,50,500,8.295898,39844.428955
1,100000,500,5,12.958008,30.485107
1,100000,500,50,13.798096,1078.895996
1,100000,500,500,10.384766,37727.618896
1,1000000,5,5,62.924805,449.145020
1,1000000,5,50,60.525879,15954.671875
1,1000000,5,500,62.687012,464911.940918
1,1000000,50,5,65.289062,240.228027
1,1000000,50,50,61.886963,11165.843018
1,1000000,50,500,61.404053,460276.186035
1,1000000,500,5,64.727051,182.396973
1,1000000,500,50,60.566895,14620.014160
1,1000000,500,500,65.489014,464068.502930
